Nama Restaurant,Rating,Tipe Restaurant,Price,Daerah,Label
Banyak GAYA Coffee,3.7,"Kopi, Barat",40000,"Senayan, Jakarta",1
Amyrea Art & Kitchen,3,Indonesia,40000,"Senayan, Jakarta",1
Komodo Kopi,4.8,Kopi,40000,"Senayan, Jakarta",1
WOW Eat Drink Click,4.8,Makanan Cepat Saji,40000,"Senayan, Jakarta",1
Mangkok Ku,3.6,Indonesia,40000,"Senayan Park, Senayan, Jakarta",1
Ciz n' Chic,4.1,Makanan Cepat Saji,40000,"Palmerah, Jakarta",1
Khayal Coffee Studio,4.1,"Kopi, Desserts",40000,"Bendungan Hilir, Jakarta",1
Honey Lane,3.9,"Minuman, Ice Cream, Desserts",40000,"Pacific Place, SCBD, Jakarta",1
Ropisbak Ghifari,2.8,"Makanan Jalanan, Indonesia",40000,"Palmerah, Jakarta",1
Stacksite Express,3.9,"Amerika, Burger, Makanan Cepat Saji",40000,"Senayan, Jakarta",1
Auntie Anne's,3.5,Kue & Roti,40000,"Senayan City, Senayan, Jakarta",1
Sari Ratu,3.1,Padang,40000,"Plaza Senayan, Senayan, Jakarta",1
Casa Kopi,3.9,Kopi,40000,"Bendungan Hilir, Jakarta",1
Mister Donut,3.1,"Kue & Roti, Desserts",40000,"fX Sudirman, Sudirman, Jakarta",1
BLEUM Coffee,3.1,"Kopi, Tea",40000,"Pacific Place, SCBD, Jakarta",1
Love & Eat,3.5,"Barat, Asia",40000,"Bendungan Hilir, Jakarta",1
Foodhall Kitchen,3,"Eropa, Jawa, Indonesia",40000,"Plaza Senayan, Senayan, Jakarta",1
Soto Kudus Senayan,3,"Jawa, Soto, Indonesia",40000,"Rukan Permata Senayan, Senayan, Jakarta",1
Old Chang Kee,3.6,Singapura,40000,"Senayan City, Senayan, Jakarta",1
Swoosh Coffee,3.4,"Kopi, Desserts",40000,"Plaza Senayan, Senayan, Jakarta",1
Kue Lily,2.9,Kue & Roti,40000,"Plaza Senayan, Senayan, Jakarta",1
Garuda Sports Café,4.5,Kopi,40000,"Senayan, Jakarta",1
Sate Taichan Bang Ipan,3.4,Satay,40000,"Senayan, Jakarta",1
Bopet Mini,4.4,Padang,40000,"Bendungan Hilir, Jakarta",1
Restoran Ayam Jerit by Titi Kamal,3.2,Indonesia,40000,"Teras Benhil, Bendungan Hilir, Jakarta",1
AEON Sushi Dash & Go,3.4,"Jepang, Sushi",40000,"fX Sudirman, Sudirman, Jakarta",1
Obonk Steak & Ribs,2.8,"Steak, Jawa",40000,"Palmerah, Jakarta",1
Ben & Bill,3.6,Kafe,40000,"Menara Prima, Kuningan, Jakarta",1
Ketupat Sayur Mandala,3.7,Indonesia,40000,"Mampang Prapatan, Jakarta",1
Kopi SANA Kith & Kin,4.5,Kopi,40000,"Kemang, Jakarta",1
Toraja Coffee House,4,"Kafe, Kopi, Tea",40000,"Tebet, Jakarta",1
Nubi Coffee And Bites,3.9,"Kafe, Kopi",40000,"Fatmawati, Jakarta",1
